Algoritmo,Tamaño,Tiempo(ms),Lenguaje
ShakerSort,10000,70,Java
DualPivotQuickSort,10000,1,Java
HeapSort,10000,1,Java
MergeSort,10000,2,Java
RadixSort,10000,1,Java
ShakerSort,100000,6849,Java
DualPivotQuickSort,100000,4,Java
HeapSort,100000,7,Java
MergeSort,100000,10,Java
RadixSort,100000,3,Java
ShakerSort,100000,6731,Java
DualPivotQuickSort,100000,7,Java
HeapSort,100000,17,Java
MergeSort,100000,11,Java
RadixSort,100000,6,Java
ShakerSort,100000,7210,Java
DualPivotQuickSort,100000,7,Java
HeapSort,100000,9,Java
MergeSort,100000,8,Java
RadixSort,100000,5,Java
ShakerSort,100000,5757,Java
DualPivotQuickSort,100000,4,Java
HeapSort,100000,6,Java
MergeSort,100000,7,Java
RadixSort,100000,2,Java
ShakerSort,10000,95,Java
DualPivotQuickSort,10000,2,Java
HeapSort,10000,4,Java
MergeSort,10000,6,Java
RadixSort,10000,7,Java
ShakerSort,10000,72,Java
DualPivotQuickSort,10000,0,Java
HeapSort,10000,0,Java
MergeSort,10000,0,Java
RadixSort,10000,0,Java
ShakerSort,10000,55,Java
DualPivotQuickSort,10000,0,Java
HeapSort,10000,0,Java
MergeSort,10000,4,Java
RadixSort,10000,0,Java
ShakerSort,10000,208,Java
DualPivotQuickSort,10000,4,Java
HeapSort,10000,2,Java
MergeSort,10000,2,Java
RadixSort,10000,1,Java
ShakerSort,100000,6335,Java
DualPivotQuickSort,100000,4,Java
HeapSort,100000,8,Java
MergeSort,100000,7,Java
RadixSort,100000,3,Java
ShakerSort,10000,90,Java
DualPivotQuickSort,10000,4,Java
HeapSort,10000,2,Java
MergeSort,10000,2,Java
RadixSort,10000,8,Java
ShakerSort,1000000,15000000,Java
DualPivotQuickSort,1000000,50,Java
HeapSort,1000000,60,Java
MergeSort,1000000,50,Java
RadixSort,1000000,130,Java
ShakerSort,10000,700,Python
DualPivotQuickSort,10000,2,Python
HeapSort,10000,8,Python
MergeSort,10000,10,Python
RadixSort,10000,6,Python
ShakerSort,100000,68000,Python
DualPivotQuickSort,100000,10,Python
HeapSort,100000,30,Python
MergeSort,100000,45,Python
RadixSort,100000,20,Python
ShakerSort,100000,67000,Python
DualPivotQuickSort,100000,12,Python
HeapSort,100000,35,Python
MergeSort,100000,50,Python
RadixSort,100000,25,Python
ShakerSort,100000,72000,Python
DualPivotQuickSort,100000,11,Python
HeapSort,100000,28,Python
MergeSort,100000,40,Python
RadixSort,100000,18,Python
ShakerSort,100000,58000,Python
DualPivotQuickSort,100000,9,Python
HeapSort,100000,27,Python
MergeSort,100000,38,Python
RadixSort,100000,17,Python
ShakerSort,10000,950,Python
DualPivotQuickSort,10000,3,Python
HeapSort,10000,10,Python
MergeSort,10000,12,Python
RadixSort,10000,8,Python
ShakerSort,10000,720,Python
DualPivotQuickSort,10000,2,Python
HeapSort,10000,7,Python
MergeSort,10000,9,Python
RadixSort,10000,6,Python
ShakerSort,10000,550,Python
DualPivotQuickSort,10000,2,Python
HeapSort,10000,6,Python
MergeSort,10000,8,Python
RadixSort,10000,5,Python
ShakerSort,10000,2100,Python
DualPivotQuickSort,10000,6,Python
HeapSort,10000,12,Python
MergeSort,10000,15,Python
RadixSort,10000,9,Python
ShakerSort,100000,63000,Python
DualPivotQuickSort,100000,11,Python
HeapSort,100000,29,Python
MergeSort,100000,42,Python
RadixSort,100000,21,Python
ShakerSort,10000,900,Python
DualPivotQuickSort,10000,4,Python
HeapSort,10000,11,Python
MergeSort,10000,12,Python
RadixSort,10000,8,Python
ShakerSort,1000000,150000000,Python
DualPivotQuickSort,1000000,150,Python
HeapSort,1000000,250,Python
MergeSort,1000000,300,Python
RadixSort,1000000,700,Python
